日期,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
2022-01-11,104.64,93.57,82.8,82.8,71.58,69.18,67.29,67.8,60.18,60.78,55.8,59.61,66.93,59.28,57.09,58.44,49.5,50.28,56.48999999999999,47.40000000000001,55.2,50.43,54.6,45.72,56.22,65.88,74.28,84.24000000000001,117.36,143.73,120.33,108.99,102.09,107.97,126.57,109.08,114.24,113.04,101.61,96.96,104.25,97.62,93.12,97.95,96.36,84.57,97.83,91.44,86.61,102.72,91.38,96.33,101.07,94.68,81.44999999999999,81.39,77.88,89.97,100.68,103.35,91.17,92.91,102.63,98.85,84.39,93.99,96.3,99.63,109.65,105.27,115.8,126.27,150.3,153.03,185.04,162.6,164.97,166.35,159.75,144.03,200.4,172.38,201.06,203.94,206.97,206.34,217.83,185.58,196.89,171.03,170.88,162.6,137.43,133.53,126.72,113.34
2022-01-12,109.95,99.9,86.94,77.49000000000001,75.09,74.46000000000001,76.56,64.71000000000001,69.87,68.1,71.61,58.14,65.75999999999999,66.27,63.99,61.5,59.37,57.3,61.02,51.54000000000001,59.46,62.49,52.05,57.36,62.16,77.1,73.56,96.63,87.3,107.79,105.24,106.17,107.7,122.52,136.05,145.83,125.07,117.78,108.3,111.87,104.28,103.32,120.15,98.25,109.8,113.97,119.91,124.5,105.48,109.23,120.63,126.24,134.01,114.0,119.67,106.11,100.35,91.38,97.83,74.75999999999999,97.98,88.28999999999999,104.43,93.51,81.96000000000001,78.21000000000001,93.51,100.5,93.48,106.32,129.48,152.67,163.29,174.51,169.29,189.15,208.02,185.13,193.47,193.89,227.01,230.85,238.11,218.73,206.25,188.43,192.57,186.57,182.07,208.17,181.98,192.36,165.45,138.66,120.69,122.4
2022-01-13,116.01,98.37,86.94,82.89,74.25,68.22,81.93,66.33,67.59,75.72,69.47999999999999,66.69,71.55000000000001,62.97,57.92999999999999,66.69,57.3,68.1,57.90000000000001,51.87,52.08,54.39,57.9,55.62,66.81,67.25999999999999,70.17,77.03999999999999,80.88,85.56,113.31,122.64,106.14,115.89,104.97,117.45,112.71,124.23,114.27,125.91,119.4,109.14,106.32,102.0,100.14,95.52,108.75,97.98,101.16,110.43,103.71,103.89,106.98,100.98,90.81,87.69,90.51,92.37,90.15,99.57,82.56,76.53,70.92,71.67,88.02,85.19999999999999,99.54,102.33,109.56,105.69,121.56,147.15,167.28,174.96,178.71,177.06,193.26,194.73,167.07,166.95,185.13,204.45,204.45,221.07,223.23,226.92,214.29,215.13,224.55,180.66,169.56,152.13,155.94,117.66,119.22,106.56
2022-01-14,99.3,81.38999999999999,84.06,78.45,72.63,68.91,57.72,66.18,60.09,61.62,60.72,66.47999999999999,63.81,68.85,66.66,65.49000000000001,60.6,62.31,64.08,62.64,65.85,65.13,63.45,66.24,72.03,65.7,80.31,89.03999999999999,80.52000000000001,91.95,117.84,122.16,134.49,134.73,126.3,116.34,101.13,104.67,99.78,105.0,104.1,102.72,110.97,106.05,97.59,102.3,107.31,115.74,121.23,118.77,94.65,120.09,107.94,112.08,112.29,112.26,91.68,93.6,92.07,101.88,101.4,95.46,92.91,94.86,97.14,97.41,98.58,106.86,122.67,123.39,127.11,144.57,164.31,178.14,173.07,184.92,174.63,176.1,178.77,203.01,207.69,195.06,197.61,190.02,199.38,214.05,203.16,198.81,198.63,164.97,164.31,152.37,147.0,126.54,114.66,121.8
2022-01-15,107.64,109.62,107.46,98.49,94.98,85.62,77.49000000000001,82.65,75.45,78.18,76.23,79.35,71.61,62.67,63.66,64.35,67.8,62.22,59.73,58.53,60.87,69.21,67.05,65.13,60.06,58.92,60.15000000000001,89.37,86.03999999999999,79.28999999999999,89.91,123.45,120.21,148.41,142.11,137.97,113.01,116.61,137.43,118.2,116.49,119.01,130.17,114.81,115.38,124.53,103.62,102.33,120.48,125.91,121.53,107.7,121.95,113.22,97.38,108.84,117.27,96.09,118.35,103.89,104.97,105.18,106.83,85.94999999999999,105.78,105.93,113.94,113.07,111.18,124.5,133.02,141.84,173.88,185.91,181.62,179.67,161.22,164.4,163.29,160.14,171.54,181.14,192.27,187.71,199.29,210.6,187.77,195.9,157.44,165.03,171.39,149.31,133.53,135.6,116.25,121.74
2022-01-16,117.72,100.14,89.16,85.62,89.19,74.16,70.95,77.1,67.98,72.0,79.41,62.43000000000001,60.63,61.31999999999999,55.35000000000001,54.6,52.89,71.97,67.41,53.79,58.31999999999999,58.14,56.31,60.93000000000001,51.21,66.42,55.44,66.57000000000001,68.22,84.63,82.47,104.4,101.31,105.96,143.28,136.56,125.52,147.15,135.3,111.39,122.22,119.16,113.13,111.12,114.63,112.62,119.79,98.19,125.94,138.84,121.08,123.03,92.19,96.33,108.72,114.96,109.77,111.27,95.82,108.09,92.55,93.72,91.89,103.05,95.19,91.5,103.95,99.78,110.52,108.39,132.8107,143.7,163.26,176.91,171.6,193.62,213.33,197.49,186.45,191.4,182.16,199.65,232.56,232.98,225.45,227.16,209.1,207.24,191.7212,191.8925,156.0105,153.6934,155.3751,156.8809,133.96439999999998,113.338
2022-01-17,98.4877,91.2573,95.1679,93.8454,76.61819999999999,87.87,83.85,81.33,77.64,67.71,66.47999999999999,68.82,57.93,62.25,64.86,57.87,56.7,52.05,55.38,63.18,58.05,65.82000000000001,61.68,49.38,61.44,63.84,59.07,69.09,72.53999999999999,97.56,121.68,122.76,123.6,140.46,131.16,129.87,106.47,105.18,119.49,109.8,114.03,106.59,109.2,99.93,94.56,105.45,109.65,107.91,89.34,87.24000000000001,99.45,95.13,104.76,99.36,93.75,85.28999999999999,91.53,98.64,87.3,79.77,78.45,81.75,96.3,86.73,98.04,94.5,103.53,96.57,96.33,105.51,113.76,131.73,148.29,156.66,146.76,163.23,184.89,210.15,210.45,181.4489,197.7771,195.4935,216.2657,223.6212,224.0129,225.6317,203.7953,201.2901,169.7029,165.9092,169.8385,155.798,130.2907,128.5912,119.4295,109.9898
2022-01-18,99.7382,81.7343,78.3748,76.27799999999999,79.6523,81.0033,66.8878,74.66710000000002,68.0184,70.76480000000001,59.6405,70.3749,65.82270000000001,72.5018,66.3186,52.9782,60.4948,48.176,46.5315,57.4802,50.131800000000005,63.0026,64.233,54.80999999999999,54.5798,55.7976,62.19609999999999,73.5653,92.7823,96.0966,107.5744,109.0701,110.7886,122.4032,117.6532,123.0631,107.3807,111.3517,116.7213,110.9324,107.151425,108.56045,105.109475,108.1385,99.9306,104.1763,111.7802,133.0205,116.8793,104.0684,99.3946,100.6494,110.0103,100.5647,90.0627,94.042,91.3484,90.0907,85.4517,86.2069,95.5202,89.9134,83.6092,76.5966,87.1194,87.6906,84.2875,99.9302,99.2404,112.8497,121.5084,142.2519,164.7902,164.6243,180.2782,186.2963,194.9353,198.5423,188.4843,193.1261,192.1365,201.8932,173.7963,203.6414,212.6918,201.084,202.3907,192.2804,189.1926,176.1999,146.7707,123.2472,124.4784,122.4723,107.6588,89.8218
2022-01-19,66.78399999999999,69.7235,64.9313,74.41839999999999,63.9338,62.7711,64.99539999999999,58.7803,58.4262,63.907,47.5002,61.1368,57.9993,60.6638,58.99179999999999,55.3211,50.0123,52.5205,61.8048,52.0583,58.087900000000005,60.6378,53.7704,60.1943,62.5502,64.2777,70.9176,74.57249999999999,84.6656,107.7516,90.6018,92.0707,102.1692,114.7883,112.7653,118.2504,124.3228,120.2932,99.2821,87.06230000000001,97.9265,90.6015,96.3069,106.3776,92.2089,109.5539,123.163,108.5845,112.8557,110.7298,112.7085,115.7604,109.8097,109.7909,112.7015,105.1832,89.8146,99.7374,97.6168,115.3448,104.297,95.3846,95.9421,112.9159,115.1947,113.458,116.9354,111.6978,129.83720000000002,131.828,127.2496,161.8279,149.8797,171.2577,163.6158,197.8296,176.79199999999997,201.0295,195.5742,171.657,174.3557,171.4228,191.5082,208.1539,184.2995,181.7946,190.1814,188.3314,175.2625,152.57309999999998,134.0152,124.2737,123.4638,136.8983,108.3016,97.0774
2022-01-20,93.9242,77.0534,68.86919999999999,85.84029999999998,68.4264,68.9352,62.1113,63.2576,64.27590000000001,61.333,58.1677,64.2332,54.0791,48.3009,54.83819999999999,52.5846,56.47260000000001,46.6351,50.4874,52.3745,55.9521,59.1631,53.2027,59.5748,72.1458,72.1168,72.1315,84.0403,76.44959999999999,94.9338,94.6636,118.1,92.3916,109.4613,125.5715,126.2924,136.6713,118.0714,117.9193,114.4904,115.5274,117.2218,118.0076,121.8463,121.7234,134.2665,97.0774,108.1484,127.4832,123.5147,122.2423,107.951,103.1565,108.735,102.7774,93.2555,94.515,95.1467,98.5644,99.8683,98.398,86.74709999999999,97.2463,98.9077,109.1562,107.9266,120.6577,118.4078,121.9394,127.7126,137.2833,132.4633,165.9583,181.216,190.7091,169.3045,177.0937,163.7567,180.1466,184.2086,180.5505,177.5354,195.9152,200.918,198.1455,193.1431,201.036,194.4652,214.1527,161.3843,144.0522,149.5498,138.2285,136.0577,126.127,114.6526
2022-01-21,116.4526,104.6218,92.4946,109.2372,86.3714,75.14110000000001,78.3894,63.5898,63.708,68.0761,74.28370000000001,57.8636,57.0372,57.8858,53.66109999999999,61.1571,47.6704,46.4582,55.7282,47.4332,42.4558,47.861,50.9023,55.7193,57.8017,61.5358,69.5986,76.26520000000001,78.6123,94.2113,108.8197,114.3896,102.6102,112.4326,120.7579,126.6588,133.1217,117.9726,112.5266,108.6914,107.9092,128.58319999999998,118.5014,126.2888,108.5085,115.0519,113.2801,117.7686,136.2208,120.9229,114.8013,115.868,112.2729,112.3455,109.9238,115.6526,116.4518,107.7944,107.2974,90.5124,99.0589,113.0319,123.7393,126.9901,114.3508,124.2034,118.1941,95.2669,113.6948,106.6921,139.8064,135.5086,159.8605,136.7642,176.9189,171.978,163.2919,193.6371,194.1381,201.431,195.4274,195.8367,227.1738,201.1944,217.3627,213.7064,197.2112,172.61239999999998,168.5521,175.9277,170.8817,165.8167,137.8731,114.6446,120.2394,99.7786
2022-01-22,86.0284,84.4886,74.18520000000001,66.27019999999999,70.2779,73.04929999999999,68.60390000000001,61.5033,69.7124,63.5572,66.6239,61.52850000000001,52.6923,49.588,50.5618,54.4564,61.2445,65.67349999999999,49.7974,56.8154,57.8481,48.5148,58.944100000000006,49.97439999999999,53.6671,56.9134,64.89510000000001,75.0735,75.7455,90.2,98.9242,95.658,104.0932,86.9962,112.6704,111.861,123.8671,122.9479,120.6871,139.9975,133.7928,125.6841,116.3246,122.211,142.4099,144.833,141.5355,163.2864,161.1271,130.5916,159.0581,127.3179,147.9188,142.3444,130.5559,115.0109,119.9965,92.0954,109.3435,95.1213,94.2789,100.1901,101.5988,93.5095,104.5951,110.4831,114.1615,114.8203,124.2804,134.2654,124.5028,139.0496,147.5109,164.1281,181.8934,170.0275,182.1325,164.34,180.6116,174.1036,196.3805,188.8194,181.0253,153.01559999999998,172.33630000000002,182.0544,184.8841,168.01139999999998,177.4566,159.39690000000002,185.2267,177.513,164.6665,152.3378,144.9415,131.625
2022-01-23,130.7894,112.5676,90.8779,80.5496,76.22310000000002,73.9355,71.81280000000001,69.4246,83.7149,68.59410000000001,62.5907,72.7704,58.1912,56.692800000000005,62.99799999999999,67.1399,62.22689999999999,58.02399999999999,63.6133,64.1822,65.4002,65.5215,57.8888,56.37,61.8984,67.9395,65.5017,64.48119999999999,67.0082,68.5457,84.1515,104.0366,104.4748,107.4586,121.4093,114.0715,99.0618,117.8359,126.2123,121.2233,112.7673,128.30749999999998,118.1898,100.4069,86.27440000000001,108.8066,114.0142,105.2294,108.803,118.524,126.3155,107.1847,110.106,108.4332,108.7734,99.5604,98.7822,93.8297,99.9393,99.65,111.2318,120.5034,113.3164,102.4294,96.8927,114.1697,117.5692,104.0133,110.4151,124.3777,134.7898,113.6407,144.6526,147.8546,152.9404,181.7545,178.9991,165.5727,175.4365,185.3272,207.2246,176.5824,176.06830000000002,190.8653,186.3488,214.6908,177.4332,189.2263,203.6656,192.1141,171.6832,159.3398,167.86950000000002,147.6481,148.0701,119.883
2022-01-24,104.6262,107.403,105.2624,89.9985,89.3309,81.0126,74.5729,77.2017,78.45580000000001,77.28450000000001,78.89290000000001,72.93799999999999,61.28379999999999,60.61029999999999,57.8568,66.6107,67.75919999999999,60.0197,61.7445,61.542,72.4196,62.1103,63.5998,64.0641,74.8395,74.91329999999999,70.68939999999999,72.8956,79.7338,93.7311,93.031,119.8347,122.5345,112.6391,113.4435,121.9209,95.6727,115.1325,118.0173,125.7048,90.98,103.0056,97.0645,95.9963,99.6488,120.7596,119.1612,114.4448,97.3666,95.9587,121.446,124.7308,120.7669,111.9578,97.1704,84.4232,92.7264,110.6939,93.2977,95.3552,94.2392,91.4054,101.3942,92.2718,109.945,125.4734,98.8695,115.3083,100.0822,118.4652,137.525,125.2487,127.953,151.114,172.4812,168.2173,166.7804,187.7013,167.39380000000003,180.9518,170.88559999999998,167.85,177.4288,190.6956,191.4055,173.0488,181.8167,153.41449999999998,152.19920000000002,158.0329,150.328,147.70280000000002,157.7256,116.3876,115.1956,106.282
2022-01-25,109.1748,83.4396,71.3289,76.2986,74.4502,64.14750000000001,64.85640000000001,64.6552,57.0087,64.1351,59.2578,55.5657,54.8161,63.95580000000001,54.7777,54.9286,51.6475,48.662,49.7981,59.2396,50.0198,48.6985,61.9356,57.982600000000005,59.0729,52.2437,59.94689999999999,72.74879999999999,96.0966,92.1714,111.4248,129.5645,111.8507,105.4535,116.1844,105.2316,101.0828,97.2836,98.601,99.9836,102.9063,96.3156,89.4181,90.5265,100.3978,106.8459,101.5061,104.1796,109.7265,106.996,95.9044,84.08549999999998,98.7522,104.2768,92.9872,88.47030000000001,101.0431,81.6941,83.086,92.9586,97.3638,94.1297,92.6201,91.3392,101.5135,104.9945,110.5118,113.5474,109.0083,105.951,125.933,137.8874,148.16060000000002,164.7968,171.0176,178.3289,178.6871,160.48280000000003,174.1149,174.6089,182.5964,201.7546,185.6484,191.3183,185.6022,178.8513,180.3233,195.6947,189.9107,177.41979999999998,204.9439,182.348,177.3331,173.67749999999998,137.8737,134.45440000000002
2022-01-26,102.3878,102.0587,77.91590000000001,91.8502,85.7123,74.0327,83.1141,74.97959999999999,67.5121,65.98310000000001,67.5627,56.7041,69.7206,71.02959999999999,51.8585,55.8846,50.3179,50.3199,50.0754,51.9588,49.9339,59.3905,53.37360000000001,49.4645,56.8756,66.34880000000001,54.7254,84.4426,75.5016,71.6084,84.3237,102.0535,87.96130000000001,111.3617,95.1321,118.6521,105.5832,114.6538,120.5654,108.0102,97.0755,110.3073,116.5057,104.1308,104.3112,113.4312,123.8117,117.5119,112.3397,108.8424,105.7216,103.5916,115.2014,110.929,102.7162,93.6857,103.0744,106.5234,95.2049,104.2894,102.3402,95.51,87.3777,84.77529999999999,83.9379,80.8722,108.6818,102.3735,108.1371,115.5139,108.7941,111.4917,138.3071,124.3274,146.86780000000002,139.61059999999998,128.7047,149.2256,170.1158,155.4899,175.7911,177.65699999999998,189.422,193.2943,190.8385,190.3223,202.4866,185.8556,182.4537,175.8243,189.5884,166.8955,144.7585,144.91559999999998,140.6605,141.8212
2022-01-27,120.6514,101.4902,92.8288,78.0577,69.572,60.62029999999999,66.6283,66.8251,66.0617,57.401,67.0362,59.6434,52.9823,54.6994,50.171200000000006,48.7497,47.8735,52.915600000000005,47.3012,53.4505,45.6531,53.574200000000005,53.28450000000001,54.7128,60.3507,55.4838,60.029800000000016,67.8023,67.7534,76.3557,81.9714,92.6162,106.3525,118.2691,125.421,111.2667,122.3027,133.971,106.8394,103.692,112.5094,101.5977,106.9237,139.2649,108.4391,121.0729,113.9031,116.1968,99.2887,115.089,123.5363,127.314,101.9747,101.4305,99.3966,92.9957,106.0771,91.8022,95.9604,83.745,96.5431,85.14429999999999,111.3675,90.4412,86.2519,79.6812,93.0929,86.4308,97.2625,103.6953,96.6178,127.4621,134.683,150.1672,147.7157,152.90030000000002,170.555,171.8922,158.23010000000002,175.3322,169.50590000000005,175.6685,183.8943,161.5766,170.24,191.7093,196.5511,202.933,172.31220000000002,176.0479,154.8584,141.14579999999998,131.183,136.4675,136.6817,108.2368
2022-01-28,110.73,100.7459,78.6717,80.6076,85.82929999999999,79.98259999999999,70.0461,77.0522,69.2695,70.4679,71.4012,72.03920000000001,65.2869,50.55619999999999,56.0154,49.7377,50.0155,47.6891,53.1668,42.04499999999999,54.1614,61.0395,66.70750000000001,56.1064,61.5692,53.5331,57.374300000000005,60.7252,72.5492,81.2608,89.71979999999999,106.6634,92.4012,94.0809,100.4592,104.7185,118.1293,112.0376,117.1103,114.6713,88.7897,103.4607,113.5225,96.3627,103.952,110.9713,104.9456,87.4115,115.3821,102.1801,105.9319,107.5517,121.5314,100.2488,80.79209999999999,99.5116,104.8525,101.8226,95.4023,99.0817,104.2099,106.1733,90.1226,93.6332,106.8626,101.9724,103.6385,109.892,122.0422,111.3919,148.80190000000002,146.2028,148.8544,134.2527,155.8613,163.9518,177.9922,158.6924,162.69029999999998,180.3972,181.7307,184.9323,174.3043,171.5353,180.8234,182.8062,191.3936,173.6185,157.6279,162.2102,150.96179999999998,144.5204,131.596,139.2539,135.44879999999998,109.5138
2022-01-29,100.9965,80.58239999999999,82.06190000000001,84.3187,70.12530000000001,78.394,59.6197,56.539,51.8862,66.7439,60.73149999999999,56.54859999999999,55.278,52.4733,52.8098,46.5066,49.5617,47.1845,47.01679999999999,46.2335,43.083,50.933400000000006,41.7662,48.18299999999999,47.6389,45.7758,49.3938,62.2296,53.551300000000005,67.3825,88.3614,83.6712,78.25420000000001,108.1441,111.3842,96.3241,115.623,111.0932,105.2907,99.2135,90.904,107.1033,110.824,101.7335,98.7338,111.0826,109.281,112.8025,114.0317,97.1123,100.1725,101.601,89.29780000000001,92.4142,106.6225,81.12320000000001,90.9628,81.0233,83.3305,86.5829,86.03179999999999,109.4552,77.1373,88.71979999999999,82.72389999999999,90.0728,96.4737,99.96,86.1607,93.9895,103.2197,108.918,118.045,137.0327,146.0109,142.2411,128.8288,152.78199999999998,145.1404,147.01510000000002,145.649,154.43329999999995,145.9106,147.4345,156.6568,160.1276,167.0177,148.9734,158.4916,165.22830000000002,142.4906,158.5955,169.2292,139.8939,138.0898,117.2409
